New Classic Family Restaurant,300,North Indian|Chinese,Cuttack,Bidhyadhapur,Casual Dining,11am :330pm|6pm :11pm,Average,3.2,9
Bonsouth,200,South Indian,Cuttack,CDA Sector 6,Quick Bites,7am :11pm,Average,3.2,4
Sri Krishna Sweets,200,Mithai,Cuttack,Naya Bazaar,Sweet Shop,6am :1030pm,Average,3.2,10
Biryani Darbaar,200,North Indian|Chinese|South Indian,Cuttack,Siba Bazaar,Quick Bites,11am :11pm,Not rated,-,-
Rahul Fast Food & Biryani,300,North Indian|Fast Food|Mughlai,Cuttack,CDA Sector 6,Quick Bites,1230pm :11pm,Average,3.2,4
Seetal Restaurant,500,North Indian,Cuttack,Mal Godown Market,Casual Dining,11am :1030pm,Not rated,-,-
Food Lover,250,Chinese|Rolls,Cuttack,Siba Bazaar,Quick Bites,5pm :11pm,Average,3.2,4
Hotel Sagar,300,North Indian|South Indian,Cuttack,Mal Godown Market,Quick Bites,11am :11pm,Average,3.2,4
Krishna Tasty Food,150,Fast Food,Cuttack,Bidanasi,Kiosk,1230pm :1030pm,Not rated,-,-
Dil Se Delhi,400,North Indian|Chinese,Cuttack,Siba Bazaar,Quick Bites,11am :4pm|7pm :1030pm,Not rated,-,-
Knight Height,300,Momos,Cuttack,Buxi Bazaar,none,24,None,NEW,NEW
Desibites,1000,North Indian,Cuttack,Bidanasi,Casual Dining,11am :3pm|7pm :11pm,Average,3.2,4
Jagannath Hotel,250,Oriya,Cuttack,Mal Godown Market,Casual Dining,11am :11pm,Not rated,-,-
The Food Villa,250,South Indian|Fast Food,Cuttack,Mal Godown Market,none,11am :11pm,Not rated,-,-
Hungry Belly,300,North Indian|Chinese,Cuttack,Naya Bazaar,Quick Bites,9am :11pm,Not rated,-,-
Hotel Sourav,300,Chinese|North Indian,Cuttack,CDA Sector 6,Quick Bites,11am :3pm|630pm :1030pm,Not rated,-,-
Krishna Inn,200,North Indian,Cuttack,Naya Bazaar,Dhaba,11am :330pm|7pm :11pm,Not rated,-,-
Munch More,300,Fast Food|Chinese,Cuttack,Buxi Bazaar,Quick Bites,430pm :11pm,Not rated,-,-
Snack Dot Com,250,Bakery,Cuttack,Siba Bazaar,Bakery,930am :1030pm,Not rated,-,-
New Dazzle,350,North Indian|Chinese,Cuttack,Naya Bazaar,Quick Bites,11am :4pm|6pm :11pm,None,NEW,NEW
Biryani Bhubaneswar,300,Biryani,Bhubaneswar,Kharabela Nagar,Quick Bites,11am :1am,Very Good,4,1403
Chili's Grill & Bar,700,Tex-Mex|Fast Food,Bhubaneswar,Sahid Nagar,Casual Dining,12noon :11pm,Excellent,4.9,303
Narula's Restaurant,600,North Indian|Mughlai,Bhubaneswar,Ashok Nagar,Casual Dining,8am :11pm,Very Good,4.4,934
Biryani247,300,Biryani|North Indian|Mughlai|Momos,Bhubaneswar,Satya Nagar,none,10am :12midnight,Good,3.9,1112
Biggies Burger 'n' More,300,Fast Food,Bhubaneswar,Patia,Quick Bites,1030am :1130pm,Very Good,4.4,679
Sher-e-Punjab,500,North Indian|Chinese|Mughlai,Bhubaneswar,Khandagiri,Casual Dining,12noon :11pm,Good,3.7,660
KFC,500,Burger|Fast Food,Bhubaneswar,Kharabela Nagar,Quick Bites,11am :11pm,Very Good,4.2,672
9th Bistro,700,North Indian|Continental|Chinese,Bhubaneswar,Sahid Nagar,Casual Dining,11am :11pm,Very Good,4.3,292
Domino's Pizza,700,Pizza|Fast Food,Bhubaneswar,Patia,Quick Bites,11am :12midnight,Very Good,4,835
Three Kings,600,Arabian|Mughlai|Lebanese,Bhubaneswar,Patia,Casual Dining,11am :11pm,Excellent,4.5,334
The Hungrill,200,Fast Food,Bhubaneswar,Sahid Nagar,Quick Bites,11am :11pm,Good,3.5,441
Brothers Kitchen & Fast Food,350,North Indian|Chinese|Fast Food,Bhubaneswar,Chandrasekharpur,Quick Bites,12noon :12midnight,Good,3.6,496
Bawarchi ten11 Restaurant,350,North Indian|South Indian|Chinese|Fast Food,Bhubaneswar,Kharabela Nagar,Quick Bites,102am :11pm,Good,3.7,598
Aangan Horizon,1200,North Indian|Chinese|Continental,Bhubaneswar,Patia,Casual Dining,11am :11pm,Very Good,4.2,922
Foodzo,300,Chinese|North Indian,Bhubaneswar,Khandagiri,none,1130am :11pm,Very Good,4,401
Bhookaa,600,Arabian|Chinese|Indian,Bhubaneswar,Patia,Casual Dining,1230pm :11pm,Very Good,4,857
Mad Moose Artisan Gelato,200,Ice Cream|Desserts,Bhubaneswar,Patia,Dessert Parlor,10am :12midnight,Excellent,4.6,292
Kathi Junction,300,Fast Food,Bhubaneswar,Sahid Nagar,Quick Bites,1130am :1030pm|1130am :...,Good,3.9,740
Pizza Hut,600,Pizza|Italian,Bhubaneswar,Kharabela Nagar,Casual Dining,11am :11pm,Very Good,4.1,584
WTF - We The Foodies,800,North Indian|Italian|Continental|Chinese,Bhubaneswar,Sahid Nagar,Casual Dining,11am :11pm,Very Good,4.1,623
Phoodiez Junket,400,Italian|Continental|Cafe|North Indian,Bhubaneswar,Patia,Casual Dining,11am :11pm,Good,3.9,392
3Q Restaurant,600,North Indian|Chinese,Bhubaneswar,Nayapalli,Casual Dining,11am :11pm,Average,2.9,722
Keyar's Food,200,South Indian,Bhubaneswar,Sahid Nagar,Casual Dining,7am :11pm,Good,3.9,453
SMOG Res:Cafe,800,North Indian|Chinese|Continental,Bhubaneswar,Gajapati Nagar,Casual Dining,1130am :1045pm...,Very Good,4.1,530
Odisha Fried Chicken,150,Fast Food|Sandwich|Burger,Bhubaneswar,Patia,Quick Bites,24,Very Good,4,284
Shiraz Golden Restaurant,600,North Indian|Biryani|Mughlai,Bhubaneswar,Unit 4,Casual Dining,12noon :11pm,Good,3.8,746
Brewberrys The Coffee Bar,400,Cafe,Bhubaneswar,Patia,Café,1030am :11pm,Excellent,4.7,802
Richard's Kitchen & Coffee Bar,500,Cafe|Chinese|Fast Food|Seafood,Bhubaneswar,Patia,Café,11am :11pm,Very Good,4,685
Caffeine,300,North Indian|Mughlai,Bhubaneswar,Patia,Quick Bites,10am :11pm,None,NEW,NEW
Zaika - Pal Heights,1500,Continental|Chinese|North Indian,Bhubaneswar,Pal Heights-- Jayadev Vihar,Fine Dining,1130am :330pm|630pm :11pm,Very Good,4.1,516
Kruti Coffee,450,Cafe|Italian|Biryani|Pizza|Desserts|Beverages|Continental|Chinese,Bhubaneswar,Patia,Café,830am :11pm,Very Good,4.1,407
Amigo Restaurant,800,Mexican|Continental|Bakery|Chinese|Italian|Momos,Bhubaneswar,Patia,Casual Dining,12noon :1145pm,Very Good,4.1,489
IKKA,400,Chinese,Bhubaneswar,Patia,Quick Bites,1130am :1045pm,Very Good,4.1,126
Chai Break,500,Italian|Cafe|Chinese|Continental,Bhubaneswar,Patia,Casual Dining,1030am :11pm,Very Good,4.3,377
Mainland China,1500,Chinese,Bhubaneswar,The Crown-- Nayapalli,Fine Dining,12noon :330pm|7pm :11pm,Very Good,4.4,577
Waffle Bites,300,Desserts,Bhubaneswar,Patia,Dessert Parlor,1030am :11pm,Very Good,4.4,317
Wrapsto,300,Fast Food,Bhubaneswar,Patia,Quick Bites,11am :11pm,Very Good,4.1,789
Hi Bhubaneswar,600,Chinese|North Indian,Bhubaneswar,Patia,Casual Dining,11am :330pm|7pm :11pm,Good,3.8,469
Burger King,500,Burger|Fast Food,Bhubaneswar,Patia,Quick Bites,11am :11pm,Very Good,4.4,141
Breeze - Pal Heights,1500,North Indian|Chinese|Continental|Thai,Bhubaneswar,Pal Heights-- Jayadev Vihar,Fine Dining,730am :1030am|730pm :11pm,Very Good,4,208
